apple_id,frame,aperture_ratio,aperture_mm,committed,code,code_phys,where,n_fingers,normal_n,seat_x_palm,neighbour_moved_mm,hit_by_fruit,hit_by_gripper,diag_clearance_mm,diag_blocking_bodies,finger_close,approach_tilt_deg,n_tries,steps,secs,obs_dim_est,lat_ripeness,lat_az_f_max,lat_stem_stiffness,lat_stem_pull_force,lat_spur_break_force,obs_ax_x,obs_ax_y,obs_ax_z,obs_lean_deg,obs_nearest_diam,obs_bearing_cos,obs_bearing_sin,obs_nb_along,obs_nb_radial,obs_n_neighbours,obs_dim,obs_visible_frac,obs_n_points
000001_584_185,1,0.85,64.0,True,SUCCESS,SUCCESS,abscission zone,3,7.48123381819902,1.026,0.0,0,0,9999.0,0,0.1,0.0,1,371,2.39,0.0741382028768131,0.8987,33.383,0.0228,14.46,44.02,4.935031151647047e-06,-2.2387841275627087e-06,0.9999999999853166,0.0003104920158217,99.0,0.0,0.0,99.0,99.0,0,0.0754,0.4127971174521997,21309.0
000001_584_185,1,1.0,74.0,False,SUCCESS,SUCCESS,abscission zone,3,8.245443601367985,1.0,0.0,0,0,9999.0,0,0.2939,0.0,1,359,2.35,0.0741382028768131,0.8987,33.383,0.0228,14.46,44.02,4.935031151647047e-06,-2.2387841275627087e-06,0.9999999999853166,0.0003104920158217,99.0,0.0,0.0,99.0,99.0,0,0.0754,0.4127971174521997,21309.0
000001_584_185,1,1.2,88.0,False,SUCCESS,SUCCESS,abscission zone,3,6.899724696509271,1.0,0.0,0,0,9999.0,0,0.5023,0.0,1,359,2.38,0.0741382028768131,0.8987,33.383,0.0228,14.46,44.02,4.935031151647047e-06,-2.2387841275627087e-06,0.9999999999853166,0.0003104920158217,99.0,0.0,0.0,99.0,99.0,0,0.0754,0.4127971174521997,21309.0
000001_584_185,1,1.45,108.0,False,SUCCESS,SUCCESS,abscission zone,3,6.989708442714537,1.0,0.0,0,0,9999.0,0,0.6843,0.0,1,361,2.37,0.0741382028768131,0.8987,33.383,0.0228,14.46,44.02,4.935031151647047e-06,-2.2387841275627087e-06,0.9999999999853166,0.0003104920158217,99.0,0.0,0.0,99.0,99.0,0,0.0754,0.4127971174521997,21309.0
000002_936_787,2,0.85,78.0,False,SUCCESS,SUCCESS,abscission zone,3,6.579006036784422,0.997,0.0,0,0,9999.0,0,0.194,0.0,1,389,3.13,0.0913223643243826,0.8213,36.526,0.01857,27.551,49.607,-0.0015872317133411,-0.0022772927812659,0.9999961473091168,0.1590449384145765,3.594463792012901,-0.2003469920070411,-0.1053388838769893,3.5011715883058936,0.8136138281342981,1,0.0848,0.575812274368231,26477.0
000002_936_787,2,1.0,92.0,True,SUCCESS,SUCCESS,abscission zone,3,5.664216781740851,0.997,0.0,0,0,9999.0,0,0.4225,0.0,1,390,3.11,0.0913223643243826,0.8213,36.526,0.01857,27.551,49.607,-0.0015872317133411,-0.0022772927812659,0.9999961473091168,0.1590449384145765,3.594463792012901,-0.2003469920070411,-0.1053388838769893,3.5011715883058936,0.8136138281342981,1,0.0848,0.575812274368231,26477.0
000002_936_787,2,1.2,110.0,False,SUCCESS,SUCCESS,abscission zone,3,6.166041634495972,0.998,0.0,0,0,9999.0,0,0.6027,0.0,1,391,3.08,0.0913223643243826,0.8213,36.526,0.01857,27.551,49.607,-0.0015872317133411,-0.0022772927812659,0.9999961473091168,0.1590449384145765,3.594463792012901,-0.2003469920070411,-0.1053388838769893,3.5011715883058936,0.8136138281342981,1,0.0848,0.575812274368231,26477.0
000002_936_787,2,1.45,132.0,False,SUCCESS,SUCCESS,abscission zone,3,6.009805146563103,0.998,0.0,0,0,9999.0,0,0.7452,0.0,1,394,3.08,0.0913223643243826,0.8213,36.526,0.01857,27.551,49.607,-0.0015872317133411,-0.0022772927812659,0.9999961473091168,0.1590449384145765,3.594463792012901,-0.2003469920070411,-0.1053388838769893,3.5011715883058936,0.8136138281342981,1,0.0848,0.575812274368231,26477.0
000003_440_849,3,0.85,42.36,True,STEM_PULL,STEM_PULL,apple-pedicel joint,3,6.203994619264425,1.649,0.0,0,0,9999.0,0,0.1,0.0,1,107,2.47,0.0498382028768132,0.8987,33.383,0.0228,14.46,44.02,-0.0783957655071353,0.0798993058052348,0.9937153540538618,6.426962261139469,99.0,0.0,0.0,99.0,99.0,0,0.0511,0.1130375270902247,3964.0
000003_440_849,3,1.0,50.0,False,STEM_PULL,STEM_PULL,apple-pedicel joint,3,18.569986716189465,1.0,0.0,0,0,9999.0,0,0.2896,0.0,1,90,2.62,0.0498382028768132,0.8987,33.383,0.0228,14.46,44.02,-0.0783957655071353,0.0798993058052348,0.9937153540538618,6.426962261139469,99.0,0.0,0.0,99.0,99.0,0,0.0511,0.1130375270902247,3964.0
000003_440_849,3,1.2,60.0,False,STEM_PULL,STEM_PULL,apple-pedicel joint,3,14.019954451541816,1.0,0.0,0,0,9999.0,0,0.5085,0.0,1,85,2.74,0.0498382028768132,0.8987,33.383,0.0228,14.46,44.02,-0.0783957655071353,0.0798993058052348,0.9937153540538618,6.426962261139469,99.0,0.0,0.0,99.0,99.0,0,0.0511,0.1130375270902247,3964.0
000003_440_849,3,1.45,72.0,False,STEM_PULL,STEM_PULL,apple-pedicel joint,3,11.083537301173946,1.0,0.0,0,0,9999.0,0,0.6715,0.0,1,82,2.62,0.0498382028768132,0.8987,33.383,0.0228,14.46,44.02,-0.0783957655071353,0.0798993058052348,0.9937153540538618,6.426962261139469,99.0,0.0,0.0,99.0,99.0,0,0.0511,0.1130375270902247,3964.0
000005_548_662,5,0.85,78.0,False,SUCCESS,SUCCESS,abscission zone,3,6.383588787476848,1.001,0.0,0,22538,59.47,0,0.1901,12.0,3,337,4.07,0.0915223643243826,0.8213,36.526,0.01857,27.551,49.607,-0.0032039358131851,0.0,0.9999948673844804,0.1835723139971246,1.6796753312977184,-0.4708168643633549,-0.1184899517976777,-1.468435551651218,0.8154791531467144,2,0.085,0.5778296878318114,27210.0
000005_548_662,5,1.0,92.0,True,SUCCESS,SUCCESS,abscission zone,3,6.138802935851753,1.001,0.0,0,22610,67.7,0,0.4198,12.0,4,409,3.97,0.0915223643243826,0.8213,36.526,0.01857,27.551,49.607,-0.0032039358131851,0.0,0.9999948673844804,0.1835723139971246,1.6796753312977184,-0.4708168643633549,-0.1184899517976777,-1.468435551651218,0.8154791531467144,2,0.085,0.5778296878318114,27210.0
000005_548_662,5,1.2,110.0,False,SUCCESS,SUCCESS,abscission zone,3,6.007276947103412,0.998,0.0,0,22482,76.78,0,0.6007,24.0,11,261,3.92,0.0915223643243826,0.8213,36.526,0.01857,27.551,49.607,-0.0032039358131851,0.0,0.9999948673844804,0.1835723139971246,1.6796753312977184,-0.4708168643633549,-0.1184899517976777,-1.468435551651218,0.8154791531467144,2,0.085,0.5778296878318114,27210.0
000005_548_662,5,1.45,132.0,False,SUCCESS,SUCCESS,abscission zone,3,5.802629664416008,1.0,0.0,0,22405,92.66,0,0.7436,36.0,19,204,3.96,0.0915223643243826,0.8213,36.526,0.01857,27.551,49.607,-0.0032039358131851,0.0,0.9999948673844804,0.1835723139971246,1.6796753312977184,-0.4708168643633549,-0.1184899517976777,-1.468435551651218,0.8154791531467144,2,0.085,0.5778296878318114,27210.0
000008_680_104,8,0.85,74.0,False,NEIGHBOR_KNOCKED,SUCCESS,abscission zone,3,7.039748646538289,0.996,45.53,22624,232,135.77,0,0.1,0.0,1,517,4.27,0.0861194861157623,0.9503,31.569,0.02935,20.489,53.077,-0.2130396943115283,0.0089488849181892,0.9770025619753367,12.31156310357352,0.985988348041976,-0.9974415420168716,0.0712587042905642,0.0056268171911348,0.9859722924113244,2,0.0858,0.2785275104340842,21155.0
000008_680_104,8,1.0,86.0,False,NEIGHBOR_KNOCKED,SUCCESS,abscission zone,3,7.021486687870084,0.997,47.91,22636,232,135.77,0,0.3232,0.0,1,510,4.41,0.0861194861157623,0.9503,31.569,0.02935,20.489,53.077,-0.2130396943115283,0.0089488849181892,0.9770025619753367,12.31156310357352,0.985988348041976,-0.9974415420168716,0.0712587042905642,0.0056268171911348,0.9859722924113244,2,0.0858,0.2785275104340842,21155.0
000008_680_104,8,1.2,104.0,True,NEIGHBOR_KNOCKED,SUCCESS,abscission zone,3,6.587362821865508,0.997,50.16,22639,249,135.77,0,0.5401,0.0,1,506,4.25,0.0861194861157623,0.9503,31.569,0.02935,20.489,53.077,-0.2130396943115283,0.0089488849181892,0.9770025619753367,12.31156310357352,0.985988348041976,-0.9974415420168716,0.0712587042905642,0.0056268171911348,0.9859722924113244,2,0.0858,0.2785275104340842,21155.0
000008_680_104,8,1.45,124.0,False,NEIGHBOR_KNOCKED,SUCCESS,abscission zone,3,6.623499240041483,0.998,52.62,22657,273,104.73,0,0.6912,0.0,1,514,4.12,0.0861194861157623,0.9503,31.569,0.02935,20.489,53.077,-0.2130396943115283,0.0089488849181892,0.9770025619753367,12.31156310357352,0.985988348041976,-0.9974415420168716,0.0712587042905642,0.0056268171911348,0.9859722924113244,2,0.0858,0.2785275104340842,21155.0
000012_937_869,12,0.85,74.72,True,SUCCESS,SUCCESS,abscission zone,3,5.773566059822189,0.996,0.0,0,0,9999.0,0,0.1149,0.0,1,336,2.4,0.0879037812407313,0.9662,31.048,0.02832,19.357,47.028,-0.0016471814117539,-0.0007712016572698,0.9999983460193324,0.1042084424119162,99.0,0.0,0.0,99.0,99.0,0,0.0849,0.5779223874904653,24245.0
000012_937_869,12,1.0,88.0,False,SUCCESS,SUCCESS,abscission zone,3,5.745667558064043,0.997,0.0,0,0,9999.0,0,0.3671,0.0,1,334,2.4,0.0879037812407313,0.9662,31.048,0.02832,19.357,47.028,-0.0016471814117539,-0.0007712016572698,0.9999983460193324,0.1042084424119162,99.0,0.0,0.0,99.0,99.0,0,0.0849,0.5779223874904653,24245.0
000012_937_869,12,1.2,106.0,False,SUCCESS,SUCCESS,abscission zone,3,6.126550665008221,0.997,0.0,0,0,9999.0,0,0.5682,0.0,1,335,2.25,0.0879037812407313,0.9662,31.048,0.02832,19.357,47.028,-0.0016471814117539,-0.0007712016572698,0.9999983460193324,0.1042084424119162,99.0,0.0,0.0,99.0,99.0,0,0.0849,0.5779223874904653,24245.0
000012_937_869,12,1.45,128.0,False,SUCCESS,SUCCESS,abscission zone,3,6.0556928461320485,0.998,0.0,0,0,9999.0,0,0.7226,0.0,1,337,2.2,0.0879037812407313,0.9662,31.048,0.02832,19.357,47.028,-0.0016471814117539,-0.0007712016572698,0.9999983460193324,0.1042084424119162,99.0,0.0,0.0,99.0,99.0,0,0.0849,0.5779223874904653,24245.0
000015_842_362,15,0.85,60.53,False,APPROACH_BLOCKED,SUCCESS,abscission zone,3,5.203901500077051,1.544,0.0,0,2371,45.97,0,0.1,0.0,1,418,3.93,0.0712077987964656,0.7836,38.284,0.04245,19.746,44.267,-1.0149330490773778e-05,2.119575935545881e-05,0.9999999997238654,0.0013464741259744,2.0329598498068173,-0.295263702313208,0.0976569083083503,-1.9321489069495577,0.6322391575188826,1,0.0754,0.3050329726797796,10685.0
000015_842_362,15,1.0,72.0,False,SUCCESS,SUCCESS,abscission zone,3,8.368184441329797,1.0,0.0,0,77,52.83,0,0.2537,12.0,2,314,3.73,0.0712077987964656,0.7836,38.284,0.04245,19.746,44.267,-1.0149330490773778e-05,2.119575935545881e-05,0.9999999997238654,0.0013464741259744,2.0329598498068173,-0.295263702313208,0.0976569083083503,-1.9321489069495577,0.6322391575188826,1,0.0754,0.3050329726797796,10685.0
000015_842_362,15,1.2,86.0,False,SUCCESS,SUCCESS,abscission zone,3,7.424795520059302,1.0,0.0,0,5,65.15,0,0.4783,24.0,11,265,3.54,0.0712077987964656,0.7836,38.284,0.04245,19.746,44.267,-1.0149330490773778e-05,2.119575935545881e-05,0.9999999997238654,0.0013464741259744,2.0329598498068173,-0.295263702313208,0.0976569083083503,-1.9321489069495577,0.6322391575188826,1,0.0754,0.3050329726797796,10685.0
000015_842_362,15,1.45,104.0,True,SUCCESS,SUCCESS,abscission zone,3,6.731225881965143,1.0,0.0,0,55,70.12,0,0.6545,36.0,18,199,3.14,0.0712077987964656,0.7836,38.284,0.04245,19.746,44.267,-1.0149330490773778e-05,2.119575935545881e-05,0.9999999997238654,0.0013464741259744,2.0329598498068173,-0.295263702313208,0.0976569083083503,-1.9321489069495577,0.6322391575188826,1,0.0754,0.3050329726797796,10685.0
000016_524_187,16,0.85,68.57,False,NEIGHBOR_KNOCKED,SUCCESS,abscission zone,3,7.578459503315994,1.0,49.14,22615,688,9999.0,0,0.1129,0.0,1,468,5.95,0.0806731924162606,0.8421,35.626,0.03604,20.345,42.487,-0.4066934018204854,0.1946744275938115,0.8925818417135222,26.80050534419763,1.0201353191034437,-0.8634352396702908,0.4802638698586521,0.1574654198720416,1.0079090786508509,1,0.078,0.3133356001360081,23038.0
000016_524_187,16,1.0,80.0,True,NEIGHBOR_KNOCKED,SUCCESS,abscission zone,3,8.184337255623937,1.0,48.62,22616,637,9999.0,0,0.3536,0.0,1,473,4.82,0.0806731924162606,0.8421,35.626,0.03604,20.345,42.487,-0.4066934018204854,0.1946744275938115,0.8925818417135222,26.80050534419763,1.0201353191034437,-0.8634352396702908,0.4802638698586521,0.1574654198720416,1.0079090786508509,1,0.078,0.3133356001360081,23038.0
000016_524_187,16,1.2,96.0,False,NEIGHBOR_KNOCKED,SUCCESS,abscission zone,3,7.707062214137808,1.0,51.17,22625,4577,9999.0,0,0.5548,0.0,1,475,5.85,0.0806731924162606,0.8421,35.626,0.03604,20.345,42.487,-0.4066934018204854,0.1946744275938115,0.8925818417135222,26.80050534419763,1.0201353191034437,-0.8634352396702908,0.4802638698586521,0.1574654198720416,1.0079090786508509,1,0.078,0.3133356001360081,23038.0
