step,fruit,cls,n_tx,tree
1,81,SUCCESS,2,0
2,83,SUCCESS,3,0
3,43,SUCCESS,3,0
4,42,SUCCESS,3,0
5,106,SUCCESS,1,0
6,75,SUCCESS,3,0
7,26,SUCCESS,3,0
8,14,SUCCESS,2,0
1,27,SUCCESS,3,1
2,12,GRASP_FAILED,1,1
3,56,SUCCESS,3,1
4,51,SUCCESS,2,1
5,46,SUCCESS,3,1
6,50,SUCCESS,3,1
7,49,SUCCESS,2,1
8,32,NEIGHBOR_KNOCKED,3,1
9,99,SUCCESS,0,1
10,109,SUCCESS,3,1
11,82,SUCCESS,3,1
12,79,NEIGHBOR_KNOCKED,3,1
13,24,SUCCESS,2,1
14,15,SUCCESS,3,1
15,96,SUCCESS,3,1
16,78,NEIGHBOR_KNOCKED,3,1
17,14,SUCCESS,3,1
18,39,NEIGHBOR_KNOCKED,3,1
19,73,DEFECT,3,1
20,38,NEIGHBOR_KNOCKED,3,1
21,102,DEFECT,2,1
22,90,SUCCESS,3,1
23,106,SUCCESS,3,1
24,17,SUCCESS,3,1
25,116,SUCCESS,3,1
26,114,SUCCESS,3,1
27,112,SUCCESS,2,1
28,113,SUCCESS,0,1
29,19,SUCCESS,2,1
30,66,SUCCESS,3,1
31,29,SUCCESS,2,1
32,28,SUCCESS,1,1
1,20,SUCCESS,3,2
2,95,SUCCESS,3,2
3,44,SUCCESS,3,2
4,72,SUCCESS,3,2
5,77,SUCCESS,3,2
6,53,SUCCESS,3,2
7,71,NEIGHBOR_KNOCKED,3,2
8,15,NEIGHBOR_KNOCKED,3,2
9,70,SUCCESS,3,2
10,14,SUCCESS,3,2
11,117,SUCCESS,3,2
12,61,SUCCESS,3,2
13,80,SUCCESS,3,2
14,63,SUCCESS,3,2
15,68,SUCCESS,3,2
16,66,SUCCESS,3,2
17,48,SUCCESS,3,2
18,31,NEIGHBOR_KNOCKED,2,2
19,82,SUCCESS,3,2
20,104,SUCCESS,3,2
21,74,NEIGHBOR_KNOCKED,2,2
22,2,SUCCESS,3,2
23,94,SUCCESS,3,2
24,41,NEIGHBOR_KNOCKED,3,2
25,110,SUCCESS,3,2
26,114,SUCCESS,2,2
27,83,SUCCESS,3,2
28,6,NEIGHBOR_KNOCKED,3,2
29,10,SUCCESS,2,2
30,103,SUCCESS,3,2
31,33,SUCCESS,3,2
1,99,SUCCESS,2,3
2,98,SUCCESS,3,3
3,100,SUCCESS,3,3
4,8,SUCCESS,3,3
5,19,SUCCESS,3,3
6,61,NEIGHBOR_KNOCKED,3,3
7,37,SUCCESS,3,3
8,86,NEIGHBOR_KNOCKED,3,3
9,63,APPROACH_BLOCKED,3,3
10,36,SUCCESS,3,3
11,49,APPROACH_BLOCKED,2,3
12,90,SUCCESS,3,3
13,91,APPROACH_BLOCKED,3,3
